,Year,Sector,Subsector,Indicator,Amount,Country,Rank
72,1997,Index,Consumption and investment,Household consumption as percent of GDP,74.9,Uruguay,38
73,1998,Index,Consumption and investment,Household consumption as percent of GDP,74.56,Uruguay,46
74,1999,Index,Consumption and investment,Household consumption as percent of GDP,75.92,Uruguay,40
75,2006,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,85.23,Ivory Coast,108
76,2007,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,80.67,Ivory Coast,95
77,2008,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,86.86,Ivory Coast,91
78,2009,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,83.46,Ivory Coast,85
79,2010,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,77.65,Ivory Coast,81
80,2011,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,68.53,Ivory Coast,54
81,2012,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,66.52,Ivory Coast,52
82,2013,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,69.92,Ivory Coast,55
83,2014,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,70.81,Ivory Coast,55
84,2015,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,74.08,Ivory Coast,67
85,2016,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,85.45,Ivory Coast,91
86,2017,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,87.43,Ivory Coast,90
87,1989,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,51.0,Algeria,98
88,1990,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,49.0,Algeria,99
89,1991,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,48.0,Algeria,98
90,1992,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,47.0,Algeria,97
91,1993,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,46.0,Algeria,98
92,1994,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,44.0,Algeria,97
93,1995,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,43.0,Algeria,98
94,1996,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,42.0,Algeria,99
95,1997,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,41.0,Algeria,100
96,1998,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,41.0,Algeria,104
97,1999,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,40.0,Algeria,106
98,2000,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,40.0,Algeria,112
99,2001,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,39.0,Algeria,112
100,2002,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,38.0,Algeria,112
